Date,New,CPIAUCSL,Unemployment_Rate,Interest Rates,CPI
2020-10,1250,260.319,6.9,-0.29173800,1.82057599999999997
2020-11,1150,260.911,6.7,-0.21395600,1.45986299999999991
2020-12,1050,262.045,6.7,-0.23232100,1.44368900000000000
2021-01,900,262.639,6.4,-0.23501700,1.20618099999999995
2021-02,800,263.573,6.2,-0.23082400,2.78567300000000007
2021-03,800,264.847,6.1,0.01250700,2.18812300000000004
2021-04,800,266.625,6.1,0.11804700,2.89802299999999979
2021-05,800,268.404,5.8,0.03694800,3.37309100000000006
2021-06,800,270.710,5.9,-0.00566500,3.66308500000000015
2021-07,800,271.965,5.4,0.03504100,3.12008399999999986
2021-08,800,272.752,5.1,-0.26101900,4.11197999999999997
2021-09,795,273.942,4.7,-0.19473100,5.37758900000000040
2021-10,790,276.528,4.5,0.08790100,6.91449900000000017
2021-11,750,278.824,4.2,0.16399800,5.43620799999999971
2021-12,700,280.806,3.9,0.09168900,4.93155799999999989
2022-01,680,282.542,4.0,0.31949500,6.40778400000000037
2022-02,650,284.525,3.8,0.44159300,6.31808700000000023
2022-03,600,287.467,3.7,0.34709000,5.59623500000000007
2022-04,580,288.582,3.7,0.94940000,6.63314599999999999
2022-05,560,291.299,3.6,1.20389800,7.66562199999999994
2022-06,550,295.072,3.6,1.02509400,8.19157200000000074
2022-07,520,294.940,3.5,1.06217500,7.02923600000000004
2022-08,500,295.162,3.6,0.85562500,7.77400800000000025
2022-09,630,296.421,3.5,1.20424900,7.45701600000000031
2022-10,570,297.979,3.6,1.79733200,7.54280799999999996
2022-11,442,298.708,3.6,1.93071300,6.15316699999999983
2022-12,527,298.808,3.5,1.57612500,5.52378600000000031
2023-01,515,300.456,3.5,1.78309900,6.72567399999999971
2023-02,492,301.476,3.6,1.42020200,7.15555699999999995
2023-03,517,301.643,3.5,2.05963600,4.69973699999999983
2023-04,504,302.858,3.4,1.44391400,5.67125400000000024
2023-05,498,303.316,3.6,1.53690400,4.80799800000000044
2023-06,489,304.099,3.6,1.06063100,4.69911100000000026
2023-07,420,304.615,3.5,1.42604700,3.22860799999999992
2023-08,480,306.138,3.7,1.60209500,4.20796900000000029
2023-09,500,307.374,3.8,1.69970800,4.83896800000000038
2023-10,380,307.653,3.9,2.08246100,4.16576300000000010
2023-11,330,308.087,3.7,2.09432900,5.53506400000000021
2023-12,450,308.735,3.8,1.68089900,4.18793099999999985
2024-01,435,309.794,3.7,1.68087100,5.72491400000000006
2024-02,300,311.022,3.9,1.61682300,4.30175199999999958
2024-03,430,312.107,3.9,1.92596900,4.73016599999999965
2024-04,380,313.016,3.9,1.93819400,4.25132300000000019
2024-05,300,313.140,4.0,2.10339900,2.80729000000000006
2024-06,300,313.131,4.1,1.99956700,2.49625599999999981
2024-07,320,313.566,4.2,2.04839600,2.63628900000000010
2024-08,300,314.131,4.2,1.66419000,3.70174199999999987
2024-09,,314.851,4.1,1.58158100,4.14646100000000040
2024-10,,315.564,4.1,1.48014800,3.69869499999999984
2024-11,,316.449,4.2,1.95841700,3.22606999999999999
2024-12,,317.603,4.1,1.82436900,3.23451099999999991
2025-01,,319.086,4.0,2.05553200,3.93019300000000005
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

